Username,Message,Character Count,Retweet Count,Like Count,Total Actions,Type
CompanyJ_255, 30 40 NFL players One of the best QB prospects ever An underdog that KNOWS it can win The third title fight between Alabama and Clemson might be the best one yet ,163,172,1007,1179,photo
CompanyJ_256,Pogba with a touching message to a 14 year old Juventus youth player who is back on the field after beating cancer via paulpogba ,129,164,1520,1684,video
CompanyJ_257,On this day in 1972 the Lakers defeated the Atlanta Hawks for their 33rd straight win It is still the longest win streak in major professional sports ,150,657,4076,4733,photo
CompanyJ_258,The Mamba offers his words of wisdom even though he s an Eagles fan ,68,1226,9998,11224,photo
CompanyJ_259,Could Trevor Lawrence be the best NFL prospect ever ,52,840,5707,6547,photo
CompanyJ_260,True love via TeamJuJu ,23,668,6208,6876,video
CompanyJ_261,The legendary tonyhawk breaks down some of his best moves via SkateJam ,71,317,1629,1946,video
CompanyJ_262,The NFL officially changes Cody Parkey s missed field goal to a blocked kick by Treyvon Hester via Eagles ,106,2643,11623,14266,photo
CompanyJ_263,Neymar loves a trip to the barber ,34,486,4046,4532,photo
CompanyJ_264,Derrick Rose to people who believe he can t keep playing at his current level without Thibs Kill yourself via malika_andrews ,125,8697,34889,43586,video
CompanyJ_265,Ohio State s Dwayne Haskins declares for the 2019 NFL Draft Potential 1st QB off the board ,91,1422,9569,10991,photo
CompanyJ_266,18 year old American Tim Weah has joined Celtic on loan from PSG for the rest of the season ,92,157,1466,1623,photo
CompanyJ_267,Lamar Jackson turns 22 today with an incredible resume 51 TDs in a college season Youngest Heisman winner ever 6 2 in the NFL as 32nd pick Last rookie QB standing Youngest playoff starter ever ,193,2986,15382,18368,photo
CompanyJ_268,Everyone wants to dance like Lance ,35,1719,8636,10355,video
CompanyJ_269,Clemson covered as underdogs the last two times they faced Bama for the title br_betting ,89,67,532,599,photo
CompanyJ_270, StephenCurry30 had these high school basketball teams hype after surprising them with 250 pairs of the Curry 6 New episode of Sneaker Shock ,141,128,684,812,video
CompanyJ_271,Alabama vs Clemson rematch is a showcase of future NFL talent nfldraftscout ,76,140,1046,1186,video
CompanyJ_272,Packers to hire Titans OC Matt LaFleur as next head coach per RapSheet ,71,535,2858,3393,photo
CompanyJ_273,DeMar and Coach Casey reunite via NBA ,38,2310,20313,22623,video
CompanyJ_274,Julio Jones coaching Bama WR Jerry Jeudy pregame via SECNetwork ,64,1384,9566,10950,video
